feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy,cycles_per_frame,latency_us_at_100mhz
timing,1,2,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999957029784089,0.9999833675223152,0.9999667355979,1.0,0.0,0,6,0.9999957029784089,6,0.06
timing,1,2,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,1,3,sqrt,3,4,3,"dt_id_dev,dt_ratio_q6,id_rate",3,0.9999957029784089,0.9999833675223152,0.9999667355979,1.0,0.0,0,6,0.9999957029784089,7,0.07
timing,1,3,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,1,4,sqrt,3,4,3,"dt_id_dev,dt_ratio_q6,id_rate",3,0.9999957029784089,0.9999833675223152,0.9999667355979,1.0,0.0,0,6,0.9999957029784089,7,0.07
timing,1,4,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,1,5,sqrt,3,4,3,"dt_id_dev,dt_ratio_q6,id_rate",3,0.9999957029784089,0.9999833675223152,0.9999667355979,1.0,0.0,0,6,0.9999957029784089,7,0.07
timing,1,5,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,1,6,sqrt,3,4,3,"dt_id_dev,dt_ratio_q6,id_rate",3,0.9999957029784089,0.9999833675223152,0.9999667355979,1.0,0.0,0,6,0.9999957029784089,7,0.07
timing,1,6,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
timing,1,8,sqrt,3,4,3,"dt_id_dev,dt_ratio_q6,id_rate",3,0.9999957029784089,0.9999833675223152,0.9999667355979,1.0,0.0,0,6,0.9999957029784089,7,0.07
timing,1,8,all,1,2,1,dt_ratio_q6,1,1.0,1.0,1.0,1.0,0.0,0,0,1.0,5,0.05
