feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy
no_payload,1,2,sqrt,3,4,2,"burst,bus_rate",2,0.9140207520074433,0.49063567191899826,0.34517466954410575,0.8479890651534606,0.008434881337078084,3670,38839,0.9347666916122247
no_payload,1,2,all,3,4,2,"dt_id,id_rate",2,0.9826581177565179,0.9324828726671391,0.9982465605611006,0.8748485475339106,0.019466878726172036,8470,104,0.9847515220161405
no_payload,1,3,sqrt,7,8,3,"dt_id,dt_id_dev,dt_bus,burst,id_rate,bus_rate",6,0.9828361076839061,0.9327788339670469,0.9926659023469112,0.8797065503227349,0.018503877287415708,8051,435,0.9846787079549362
no_payload,1,3,all,6,7,3,"dt_id,burst,id_rate,bus_rate",4,0.9837563965130155,0.9354996747275341,0.9819260857836526,0.8932652341293578,0.015994097881396836,6959,1072,0.9850852531299933
no_payload,1,4,sqrt,14,15,4,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,id_rate,bus_rate",7,0.9823183188042313,0.9296327897354991,0.9735972484488805,0.8894673608329996,0.016492836096695457,7176,1566,0.9860399263768936
no_payload,1,4,all,12,13,4,"dt_id,dt_id_dev,dt_bus,burst,id_rate,bus_rate",6,0.9840233814040978,0.9365373954542168,0.9826679255462638,0.894543780216407,0.015791844595930114,6871,1028,0.9861936449505471
no_payload,1,5,sqrt,23,24,5,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,id_rate,bus_rate",7,0.9839991100503631,0.9356426380742416,0.9695508497437281,0.9040260332332458,0.01403132167925387,6105,1806,0.9857304666167755
no_payload,1,5,all,22,23,5,"dt_id,dt_id_dev,dt_bus,burst,id_rate,bus_rate",6,0.9837139216439796,0.9334996118333031,0.9528425950903696,0.9149263396470779,0.012077738808268483,5255,2797,0.9880119738678425
no_payload,1,6,sqrt,33,34,6,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,dlc,id_rate,bus_rate",8,0.9831496126696466,0.9321762067196926,0.9652515511195037,0.9012924859495285,0.014410546589503973,6270,2061,0.9863372504601444
no_payload,1,6,all,38,39,6,"dt_id,dt_id_dev,dt_bus,burst,id_rate,bus_rate",6,0.9847555672417629,0.9382491499733726,0.965386431076342,0.9125958274229795,0.01260405701703984,5484,2053,0.9883699763354301
