feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy,cycles_per_frame,latency_us_at_100mhz
timing,1,2,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999975751653283,0.9999864738742882,0.9999729481144836,1.0,0.0,0,4,0.9999975751653283,6,0.06
timing,1,2,all,2,3,2,"dt_ratio_q6,id_rate",2,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,1,3,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999975751653283,0.9999864738742882,0.9999729481144836,1.0,0.0,0,4,0.9999975751653283,6,0.06
timing,1,3,all,2,3,2,"dt_ratio_q6,id_rate",2,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,1,4,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999975751653283,0.9999864738742882,0.9999729481144836,1.0,0.0,0,4,0.9999975751653283,6,0.06
timing,1,4,all,2,3,2,"dt_ratio_q6,id_rate",2,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,1,5,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999975751653283,0.9999864738742882,0.9999729481144836,1.0,0.0,0,4,0.9999975751653283,6,0.06
timing,1,5,all,2,3,2,"dt_ratio_q6,id_rate",2,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,1,6,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999975751653283,0.9999864738742882,0.9999729481144836,1.0,0.0,0,4,0.9999975751653283,6,0.06
timing,1,6,all,2,3,2,"dt_ratio_q6,id_rate",2,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,1,8,sqrt,2,3,2,"dt_ratio_q6,id_rate",2,0.9999975751653283,0.9999864738742882,0.9999729481144836,1.0,0.0,0,4,0.9999975751653283,6,0.06
timing,1,8,all,2,3,2,"dt_ratio_q6,id_rate",2,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,3,2,sqrt,6,9,2,"dt_ratio_q6,dt_bus,pl_popcount,id_rate",4,1.0,1.0,1.0,1.0,0.0,0,0,1.0,6,0.06
timing,3,2,all,6,9,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999987875826641,6,0.06
timing,3,3,sqrt,8,11,3,"dt_ratio_q6,dt_bus,pl_popcount,id_rate",4,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,7,0.07
timing,3,3,all,6,9,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999987875826641,6,0.06
timing,3,4,sqrt,8,11,3,"dt_ratio_q6,dt_bus,pl_popcount,id_rate",4,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,7,0.07
