feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy,cycles_per_frame,latency_us_at_100mhz
timing,1,2,sqrt,3,4,2,"dt_id_dev,dt_ratio_q6,id_rate",3,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,6,0.06
timing,1,2,all,3,4,2,"dt_id,pl_popcount",2,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,6,0.06
timing,1,3,sqrt,6,7,3,"dt_id_dev,dt_ratio_q6,dt_bus,burst,id_rate",5,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,7,0.07
timing,1,3,all,6,7,3,"dt_id,burst,pl_popcount,id_rate",4,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,7,0.07
timing,1,4,sqrt,9,10,4,"dt_ratio_q6,dt_bus,burst,id_rate",4,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,8,0.08
timing,1,4,all,10,11,4,"dt_id,dt_bus,burst,pl_popcount,id_rate",5,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,8,0.08
timing,1,5,sqrt,18,19,5,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,id_rate",6,0.9953305513182871,0.987034797441815,0.9999571977357602,0.9744421272158499,0.00566960826268491,2451,4,0.9949996005766911,9,0.09
timing,1,5,all,15,16,5,"dt_id,dt_id_dev,dt_bus,burst,pl_popcount,id_rate",6,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,9,0.09
timing,1,6,sqrt,24,25,6,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,id_rate",6,0.9953305513182871,0.987034797441815,0.9999571977357602,0.9744421272158499,0.00566960826268491,2451,4,0.9949996005766911,10,0.1
timing,1,6,all,24,25,6,"dt_id,dt_bus,burst,pl_popcount,id_rate",5,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,10,0.1
timing,1,8,sqrt,45,46,8,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,id_rate",6,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,12,0.12
timing,1,8,all,63,64,8,"dt_id,dt_id_dev,dt_bus,burst,pl_popcount,id_rate",6,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,12,0.12
timing,3,2,sqrt,7,10,2,"dt_id,dt_id_dev,dt_ratio_q6,pl_popcount,id_rate",5,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,6,0.06
timing,3,2,all,9,12,2,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,pl_popcount",5,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,6,0.06
timing,3,3,sqrt,14,17,3,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,dt_bus,burst,pl_popcount,id_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,7,0.07
timing,3,3,all,20,23,3,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate",7,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,7,0.07
timing,3,4,sqrt,22,25,4,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,dt_bus,burst,pl_popcount,id_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,8,0.08
timing,3,4,all,32,35,4,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,8,0.08
timing,3,5,sqrt,39,42,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,9,0.09
timing,3,5,all,49,52,5,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,9,0.09
timing,3,6,sqrt,54,57,6,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate",7,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,10,0.1
timing,3,6,all,80,83,6,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,10,0.1
timing,3,8,sqrt,119,122,8,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate",7,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,12,0.12
timing,3,8,all,207,210,8,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,12,0.12
timing,5,2,sqrt,13,18,2,"dt_id,dt_id_dev,dt_ratio_q6,pl_popcount,id_rate,bus_rate",6,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,6,0.06
timing,5,2,all,15,20,2,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,pl_popcount",5,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,6,0.06
timing,5,3,sqrt,24,29,3,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,dt_bus,burst,pl_popcount,id_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,7,0.07
timing,5,3,all,32,37,3,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate",7,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,7,0.07
timing,5,4,sqrt,38,43,4,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,dt_bus,burst,pl_popcount,id_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,8,0.08
timing,5,4,all,52,57,4,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,8,0.08
timing,5,5,sqrt,70,75,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,9,0.09
timing,5,5,all,83,88,5,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,9,0.09
timing,5,6,sqrt,99,104,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,10,0.1
timing,5,6,all,135,140,6,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,10,0.1
timing,5,8,sqrt,198,203,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,12,0.12
timing,5,8,all,338,343,8,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,12,0.12
timing,7,2,sqrt,19,26,2,"dt_id,dt_id_dev,dt_ratio_q6,pl_popcount,id_rate,bus_rate",6,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,6,0.06
timing,7,2,all,21,28,2,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,pl_popcount",5,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,6,0.06
timing,7,3,sqrt,34,41,3,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,7,0.07
timing,7,3,all,44,51,3,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate",7,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,7,0.07
timing,7,4,sqrt,54,61,4,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,dt_bus,burst,dlc,pl_popcount,id_rate",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,8,0.08
timing,7,4,all,72,79,4,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,8,0.08
timing,7,5,sqrt,94,101,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,dlc,pl_popcount,id_rate,bus_rate",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,9,0.09
timing,7,5,all,117,124,5,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,9,0.09
timing,7,6,sqrt,133,140,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,10,0.1
timing,7,6,all,192,199,6,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,10,0.1
timing,7,8,sqrt,263,270,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,12,0.12
timing,7,8,all,477,484,8,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,12,0.12
timing,9,2,sqrt,25,34,2,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,pl_popcount,id_rate,bus_rate",7,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,6,0.06
timing,9,2,all,27,36,2,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,pl_popcount",5,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,6,0.06
timing,9,3,sqrt,46,55,3,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,7,0.07
timing,9,3,all,57,66,3,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate",7,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,7,0.07
timing,9,4,sqrt,74,83,4,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,dt_bus,burst,dlc,pl_popcount,id_rate,bus_rate",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,8,0.08
timing,9,4,all,93,102,4,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,8,0.08
timing,9,5,sqrt,129,138,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,dlc,pl_popcount,id_rate,bus_rate",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,9,0.09
timing,9,5,all,151,160,5,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,9,0.09
timing,9,6,sqrt,178,187,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,dlc,pl_popcount,id_rate,bus_rate",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,10,0.1
timing,9,6,all,248,257,6,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,10,0.1
timing,9,8,sqrt,357,366,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,12,0.12
timing,9,8,all,611,620,8,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate,bus_rate",8,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950756812069431,12,0.12
no_rate,1,2,sqrt,2,3,2,"dt_id,pl_popcount",2,0.9953876117909761,0.9871912023367473,0.9999571977357602,0.9747470533013456,0.005600212812713247,2421,4,0.9950737791911868,6,0.06
no_rate,1,2,all,3,4,2,"dt_id_dev,dt_ratio_q6,pl_popcount",3,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,6,0.06
no_rate,1,3,sqrt,4,5,3,"dt_id,dt_id_dev,pl_popcount",3,0.9953876117909761,0.9871912023367473,0.9999571977357602,0.9747470533013456,0.005600212812713247,2421,4,0.9950737791911868,7,0.07
no_rate,1,3,all,6,7,3,"dt_id,dt_id_dev,dt_ratio_q6,burst,pl_popcount",5,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,7,0.07
no_rate,1,4,sqrt,7,8,4,"dt_id,dt_id_dev,dt_bus,burst,pl_popcount",5,0.9953876117909761,0.9871912023367473,0.9999571977357602,0.9747470533013456,0.005600212812713247,2421,4,0.9950737791911868,8,0.08
no_rate,1,4,all,8,9,4,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount",6,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,8,0.08
no_rate,1,5,sqrt,9,10,5,"dt_id,dt_id_dev,burst,pl_popcount",4,0.9953876117909761,0.9871912023367473,0.9999571977357602,0.9747470533013456,0.005600212812713247,2421,4,0.9950737791911868,9,0.09
no_rate,1,5,all,10,11,5,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount",6,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,9,0.09
no_rate,1,6,sqrt,11,12,6,"dt_id,dt_id_dev,dt_ratio_q6,burst,pl_popcount",5,0.9953876117909761,0.9871912023367473,0.9999571977357602,0.9747470533013456,0.005600212812713247,2421,4,0.9950737791911868,10,0.1
no_rate,1,6,all,12,13,6,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount",6,0.9953838077594634,0.9871807738016638,0.9999571977357602,0.9747267189586115,0.0056048391760446905,2423,4,0.9950737791911868,10,0.1
no_rate,1,8,sqrt,15,16,8,"dt_id,dt_id_dev,burst,pl_popcount",4,0.9953876117909761,0.9871912023367473,0.9999571977357602,0.9747470533013456,0.005600212812713247,2421,4,0.9950737791911868,12,0.12
