feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy
scale_free,1,2,sqrt,3,4,2,"dt_ratio_q6,bus_rate",2,0.9889332672817719,0.9363714582406171,0.9866695011692324,0.8909528218794462,0.010863097079438859,9657,1066,0.9902223047866741
scale_free,1,2,all,3,4,2,"dt_ratio_q6,id_rate",2,0.9896102957871489,0.9405799753277339,0.996373504070429,0.8907036018512308,0.01099808430627252,9777,290,0.9907517493343241
scale_free,1,3,sqrt,7,8,3,"dt_ratio_q6,id_rate,bus_rate",3,0.9891448386897022,0.9378015895543571,0.991571523253342,0.8895632565601266,0.01107345217458798,9844,674,0.9904245876937684
scale_free,1,3,all,7,8,3,"dt_ratio_q6,id_rate",2,0.9897630400231181,0.9414023500499193,0.996373504070429,0.8921796967728932,0.010831600059844338,9629,290,0.9909292629058559
scale_free,1,4,sqrt,15,16,4,"dt_ratio_q6,id_rate,bus_rate",3,0.9895648853386174,0.9388283551839506,0.9702627333775182,0.909366869037294,0.008698801875872495,7733,2378,0.9910830391974735
scale_free,1,4,all,12,13,4,"dt_ratio_q6,id_rate,bus_rate",3,0.9893378330959606,0.9375736444882199,0.9701501869521177,0.9071137926196156,0.008936154416388349,7944,2387,0.9915464321836234
scale_free,1,5,sqrt,30,31,5,"dt_ratio_q6,id_rate,bus_rate",3,0.9896288727888207,0.9393699884761347,0.9734890642389986,0.9075615556799105,0.00891928101303414,7929,2120,0.9914329060622948
scale_free,1,5,all,20,21,5,"dt_ratio_q6,id_rate,bus_rate",3,0.9892965508700229,0.936942524123087,0.9635099478534895,0.9118009041206125,0.008383831679927288,7453,2918,0.9917683241480381
scale_free,3,2,sqrt,9,12,2,"dt_ratio_q6,id_rate,bus_rate",3,0.9894431027721015,0.9397837182332476,0.9981742468768366,0.8878470368392952,0.011342301734698353,10083,146,0.9900912337193222
scale_free,3,2,all,9,12,2,"dt_ratio_q6,id_rate",2,0.9896102957871489,0.9405799753277339,0.996373504070429,0.8907036018512308,0.01099808430627252,9777,290,0.9907517493343241
scale_free,3,3,sqrt,21,24,3,"dt_ratio_q6,id_rate,bus_rate",3,0.9895917187854769,0.9401664778019709,0.9908212137506721,0.8944391763749662,0.010518879651013023,9351,734,0.99072801205441
