feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy
per_id,1,2,sqrt,3,4,2,"dt_ratio_q6,id_rate",2,0.9880054492538237,0.928070110290022,0.9375867545362462,0.9187447155268543,0.00745916917611671,6631,4991,0.9897310462980163
per_id,1,2,all,3,4,2,"dt_ratio_q6,id_rate",2,0.9896102957871489,0.9405799753277339,0.996373504070429,0.8907036018512308,0.01099808430627252,9777,290,0.9907517493343241
per_id,1,3,sqrt,7,8,3,"dt_ratio_q6,id_rate",2,0.9894420707164531,0.9382619191309596,0.9720884865006816,0.9067103682362684,0.008996898668463496,7998,2232,0.9911067764773877
per_id,1,3,all,7,8,3,"dt_ratio_q6,id_rate",2,0.9897630400231181,0.9414023500499193,0.996373504070429,0.8921796967728932,0.010831600059844338,9629,290,0.9909292629058559
per_id,1,4,sqrt,15,16,4,"dt_ratio_q6,id_rate",2,0.9896061675645551,0.9391417849567629,0.9717258369077244,0.9086720613686328,0.008785418679757427,7810,2261,0.9916093875781782
per_id,1,4,all,12,13,4,"dt_ratio_q6,id_rate",2,0.9892862303135385,0.93722599488423,0.9690872484900022,0.9073930963420918,0.008896783141895199,7909,2472,0.9914855409003653
per_id,3,2,sqrt,9,12,2,"dt_ratio_q6,id_rate",2,0.9894689041633125,0.9396648573219333,0.9936473795440619,0.8912455835342942,0.010906967928159797,9696,508,0.9906289347121596
per_id,3,2,all,9,12,2,"dt_ratio_q6,id_rate",2,0.9896102957871489,0.9405799753277339,0.996373504070429,0.8907036018512308,0.01099808430627252,9777,290,0.9907517493343241
per_id,3,3,sqrt,21,24,3,"dt_ratio_q6,id_rate",2,0.9897238219084773,0.9410441177341331,0.9937349156527068,0.8936596117946065,0.010636993474492476,9456,501,0.9908838524573245
per_id,3,3,all,21,24,3,"dt_ratio_q6,id_rate",2,0.9897620079674696,0.9413954037927571,0.9963484937536734,0.8921872725440355,0.01083047516628739,9628,292,0.9909292629058559
per_id,3,4,sqrt,40,43,4,"dt_ratio_q6,id_rate",2,0.989634033067063,0.9403187279403901,0.9894706566458664,0.8958189455093006,0.010351270511027895,9202,842,0.9913668545007946
per_id,3,4,all,36,39,4,"dt_ratio_q6,id_rate",2,0.9892903585361322,0.9372532183650887,0.9691622794402691,0.9073783543296023,0.008899032929009093,7911,2466,0.9914927652899044
per_id,5,2,sqrt,15,20,2,"dt_ratio_q6,id_rate",2,0.9894885132206328,0.9398060318079466,0.9942726374629535,0.890996907077861,0.010941839628425161,9727,458,0.9906382232129957
per_id,5,2,all,15,20,2,"dt_ratio_q6,id_rate",2,0.9896102957871489,0.9405799753277339,0.996373504070429,0.8907036018512308,0.01099808430627252,9777,290,0.9907517493343241
per_id,5,3,sqrt,35,40,3,"dt_ratio_q6,id_rate",2,0.9897217577971804,0.9410497280083344,0.9940350394537747,0.8934271456188464,0.010666240706973102,9482,477,0.9908786921790823
per_id,5,3,all,35,40,3,"dt_ratio_q6,id_rate",2,0.9897630400231181,0.9414023500499193,0.996373504070429,0.8921796967728932,0.010831600059844338,9629,290,0.9909292629058559
per_id,5,4,sqrt,68,73,4,"dt_ratio_q6,id_rate",2,0.9897785208578447,0.9408243012320304,0.9845436242450011,0.9008226638748728,0.009750577351618103,8668,1236,0.991465931843045
per_id,5,4,all,58,63,4,"dt_ratio_q6,id_rate",2,0.9892862303135385,0.93722599488423,0.9690872484900022,0.9073930963420918,0.008896783141895199,7909,2472,0.9914855409003653
per_id,7,2,sqrt,21,28,2,"dt_ratio_q6,id_rate",2,0.9894689041633125,0.9396826898068238,0.9939600085035077,0.8910262877641388,0.010935090267083477,9721,483,0.9906309988234565
per_id,7,2,all,21,28,2,"dt_ratio_q6,id_rate",2,0.9896102957871489,0.9405799753277339,0.996373504070429,0.8907036018512308,0.01099808430627252,9777,290,0.9907517493343241
per_id,7,3,sqrt,49,56,3,"dt_ratio_q6,id_rate",2,0.9897527194666337,0.9412342639338538,0.9943476684132204,0.8935072815533981,0.010660616239188367,9477,452,0.9908983012364027
per_id,7,3,all,49,56,3,"dt_ratio_q6,id_rate",2,0.9898631494210168,0.9419421194495673,0.996373504070429,0.8931497943032654,0.01072248538482046,9532,290,0.9910087311907858
per_id,7,4,sqrt,93,100,4,"dt_ratio_q6,id_rate",2,0.9899095919251966,0.9418641296268767,0.9903960383658259,0.8978664066751315,0.01013416605453709,9009,768,0.9910149235246765
per_id,7,4,all,80,87,4,"dt_ratio_q6,id_rate",2,0.9894369104382108,0.938254474816151,0.9724386309352608,0.9063920553884887,0.009034020155842754,8031,2204,0.9915701694635375
scale_free,1,2,sqrt,3,4,2,"dt_ratio_q6,bus_rate",2,0.9889332672817719,0.9363714582406171,0.9866695011692324,0.8909528218794462,0.010863097079438859,9657,1066,0.9902223047866741
scale_free,1,2,all,3,4,2,"dt_ratio_q6,id_rate",2,0.9896102957871489,0.9405799753277339,0.996373504070429,0.8907036018512308,0.01099808430627252,9777,290,0.9907517493343241
scale_free,1,3,sqrt,7,8,3,"dt_ratio_q6,id_rate,bus_rate",3,0.9891448386897022,0.9378015895543571,0.991571523253342,0.8895632565601266,0.01107345217458798,9844,674,0.9904245876937684
scale_free,1,3,all,7,8,3,"dt_ratio_q6,id_rate",2,0.9897630400231181,0.9414023500499193,0.996373504070429,0.8921796967728932,0.010831600059844338,9629,290,0.9909292629058559
scale_free,1,4,sqrt,15,16,4,"dt_ratio_q6,id_rate,bus_rate",3,0.9895648853386174,0.9388283551839506,0.9702627333775182,0.909366869037294,0.008698801875872495,7733,2378,0.9910830391974735
scale_free,1,4,all,12,13,4,"dt_ratio_q6,id_rate,bus_rate",3,0.9893378330959606,0.9375736444882199,0.9701501869521177,0.9071137926196156,0.008936154416388349,7944,2387,0.9915464321836234
scale_free,3,2,sqrt,9,12,2,"dt_ratio_q6,id_rate,bus_rate",3,0.9894431027721015,0.9397837182332476,0.9981742468768366,0.8878470368392952,0.011342301734698353,10083,146,0.9900912337193222
scale_free,3,2,all,9,12,2,"dt_ratio_q6,id_rate",2,0.9896102957871489,0.9405799753277339,0.996373504070429,0.8907036018512308,0.01099808430627252,9777,290,0.9907517493343241
scale_free,3,3,sqrt,21,24,3,"dt_ratio_q6,id_rate,bus_rate",3,0.9895917187854769,0.9401664778019709,0.9908212137506721,0.8944391763749662,0.010518879651013023,9351,734,0.99072801205441
scale_free,3,3,all,21,24,3,"dt_ratio_q6,id_rate",2,0.9897620079674696,0.9413954037927571,0.9963484937536734,0.8921872725440355,0.01083047516628739,9628,292,0.9909292629058559
scale_free,3,4,sqrt,44,47,4,"dt_ratio_q6,id_rate,bus_rate",3,0.9900334386030095,0.9424359654508497,0.9885577800842847,0.9004259972207668,0.009833819474832193,8742,915,0.9914514830639668
scale_free,3,4,all,36,39,4,"dt_ratio_q6,id_rate,bus_rate",3,0.9893450574854996,0.9376449555469656,0.9706754036039866,0.9067884720972886,0.008975525690881501,7979,2345,0.9915577847957562
scale_free,5,2,sqrt,15,20,2,"dt_ratio_q6,id_rate,bus_rate",3,0.9894802567754454,0.9399730282026065,0.997999174659547,0.8883236865538735,0.011286057056850995,10033,160,0.9901232274444238
scale_free,5,2,all,15,20,2,"dt_ratio_q6,id_rate",2,0.9896102957871489,0.9405799753277339,0.996373504070429,0.8907036018512308,0.01099808430627252,9777,290,0.9907517493343241
scale_free,5,3,sqrt,35,40,3,"dt_ratio_q6,id_rate,bus_rate",3,0.9896629306252193,0.9405663288315017,0.9910838220766066,0.8949490158880721,0.010464884760279559,9303,713,0.9910180196916217
scale_free,5,3,all,35,40,3,"dt_ratio_q6,id_rate",2,0.9897630400231181,0.9414023500499193,0.996373504070429,0.8921796967728932,0.010831600059844338,9629,290,0.9909292629058559
scale_free,5,4,sqrt,72,77,4,"dt_ratio_q6,id_rate,bus_rate",3,0.9898466365306418,0.941470437752103,0.9894581514874886,0.897922128031412,0.010118417544739829,8995,843,0.9911955332631536
scale_free,5,4,all,58,63,4,"dt_ratio_q6,id_rate,bus_rate",3,0.9893006790926167,0.9373273282350452,0.9694498980829592,0.907265237337328,0.008913656545249405,7924,2443,0.9915030858463888
scale_free,7,2,sqrt,21,28,2,"dt_ratio_q6,id_rate,bus_rate",3,0.9896711870704068,0.9409884783659799,0.9978241024422574,0.8902785990828657,0.011062203239018508,9834,174,0.9907744545585898
scale_free,7,2,all,21,28,2,"dt_ratio_q6,id_rate",2,0.9896102957871489,0.9405799753277339,0.996373504070429,0.8907036018512308,0.01099808430627252,9777,290,0.9907517493343241
scale_free,7,3,sqrt,49,56,3,"dt_ratio_q6,id_rate,bus_rate",3,0.9895163787231408,0.9396578353332541,0.9890454812610202,0.8949679200660835,0.010441261995583668,9282,876,0.9908962371251058
scale_free,7,3,all,49,56,3,"dt_ratio_q6,id_rate",2,0.9898631494210168,0.9419421194495673,0.996373504070429,0.8931497943032654,0.01072248538482046,9532,290,0.9910087311907858
scale_free,7,4,sqrt,101,108,4,"dt_ratio_q6,id_rate,bus_rate",3,0.9897651041344149,0.9410372731002253,0.9896207185464004,0.8970008161044614,0.01022190775197897,9087,830,0.9911036803104424
scale_free,7,4,all,80,87,4,"dt_ratio_q6,id_rate,bus_rate",3,0.9894369104382108,0.9382581995644594,0.97250115672715,0.9063446925551256,0.00903964462362749,8036,2199,0.9915732656304828
