feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy,cycles_per_frame,latency_us_at_100mhz
timing,1,2,sqrt,3,4,2,"dt_id,dt_ratio_q6,burst",3,0.9920454968646065,0.9697641181995127,0.9875036729443986,0.952650664270586,0.007280768917621961,8853,2254,0.9882369033943605,6,0.06
timing,1,2,all,3,4,2,"dt_id,dt_id_dev,dt_ratio_q6",3,0.9926513769089519,0.9716762128217514,0.975794603405166,0.9675924398852129,0.004848089096281652,5895,4366,0.9892245021900486,6,0.06
timing,1,3,sqrt,6,7,3,"dt_id,dt_ratio_q6,hd_dev,burst",4,0.9920856023994569,0.96906067757984,0.9594895023091039,0.9788247271081952,0.00307909170084453,3744,7307,0.9884796851142578,7,0.07
timing,1,3,all,7,8,3,"dt_id,dt_id_dev,dt_ratio_q6,burst,pl_popcount",5,0.9931655871593537,0.9736058214887279,0.975794603405166,0.9714268368067821,0.004257600890831231,5177,4366,0.9898454218099628,7,0.07
timing,1,4,sqrt,11,12,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst",6,0.992741614362365,0.9723307424970856,0.9872763661967145,0.9578308716746092,0.006447670655614614,7840,2295,0.9892789311302026,8,0.08
timing,1,4,all,15,16,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_popcount",7,0.993452055265427,0.975080742971614,0.9917282520111103,0.9589829090987069,0.006292235738023904,7651,1492,0.9899542796902707,8,0.08
timing,1,5,sqrt,22,23,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_popcount",7,0.9934183952629634,0.9749516203766797,0.9915563859335932,0.9588938273723039,0.006305394249565974,7667,1523,0.990053111186866,9,0.09
timing,1,5,all,29,30,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_popcount",8,0.9946652476946479,0.9795439753725831,0.9887788083582354,0.9704800461436329,0.004461557819733326,5425,2024,0.9907363376198511,9,0.09
timing,1,6,sqrt,43,44,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,pl_popcount",9,0.9930603101303717,0.973513879929589,0.9872929983977646,0.9601140829959187,0.006084166774264912,7398,2292,0.9897938575508696,10,0.1
timing,1,6,all,52,53,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_popcount",8,0.99520022688274,0.9815025391918746,0.9857850121692271,0.977257113335202,0.0034031200475680193,4138,2564,0.9912004159516901,10,0.1
timing,1,8,sqrt,85,86,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,dlc,pl_popcount",9,0.9939261599809786,0.9768283120268192,0.9910740521031418,0.9629863063878384,0.0056507583003479606,6871,1610,0.9909046376321692,12,0.12
timing,1,8,all,125,126,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,dlc,pl_popcount",8,0.9951314745372823,0.981383910967007,0.9934136483841817,0.969642035769366,0.004613703109438518,5610,1188,0.9920884670805176,12,0.12
timing,3,2,sqrt,9,12,2,"dt_id,dt_id_dev,dt_ratio_q6,hd,burst",5,0.9920454968646065,0.9697641181995127,0.9875036729443986,0.952650664270586,0.007280768917621961,8853,2254,0.9882369033943605,6,0.06
