feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy
timing,1,2,sqrt,3,4,2,"dt_id,hd_dev,id_rate",3,0.9953381593813123,0.987053050271775,0.9997538869806213,0.9746708673245843,0.005616405084373301,2428,23,0.9949996005766911
timing,1,2,all,3,4,2,"dt_id,dt_id_dev,hd_dev",3,0.9951669779632455,0.9865865696775181,0.9999464971697003,0.973578929821637,0.00586622870427129,2536,5,0.9950623670966491
timing,1,3,sqrt,6,7,3,"dt_id,hd_dev,id_rate,bus_rate",4,0.9953704936491694,0.9871441398616173,0.9999464971697003,0.9746654567831701,0.005618718266039023,2429,5,0.9950661711281616
timing,1,3,all,5,6,3,"dt_id,dt_id_dev,hd_dev,id_rate,pl_track_dev",5,0.9951669779632455,0.9865865696775181,0.9999464971697003,0.973578929821637,0.00586622870427129,2536,5,0.9950623670966491
timing,1,4,sqrt,11,12,4,"dt_id,dt_ratio_q6,hd_dev,dt_bus,burst,pl_popcount,id_rate",7,0.9953781017121945,0.9871649958273032,0.9999464971697003,0.9747061216400864,0.005609465539376135,2425,5,0.9950661711281616
timing,1,4,all,9,10,4,"dt_id,dt_id_dev,hd_dev,burst,id_rate,pl_track_dev",6,0.9951669779632455,0.9865865696775181,0.9999464971697003,0.973578929821637,0.00586622870427129,2536,5,0.9950623670966491
timing,1,5,sqrt,19,20,5,"dt_id,hd,hd_dev,burst,id_rate,pl_track_dev",6,0.9953704936491694,0.9871441398616173,0.9999464971697003,0.9746654567831701,0.005618718266039023,2429,5,0.9950661711281616
timing,1,5,all,17,18,5,"dt_id,dt_id_dev,hd_dev,burst,id_rate,pl_track_dev",6,0.9951669779632455,0.9865865696775181,0.9999464971697003,0.973578929821637,0.00586622870427129,2536,5,0.9950623670966491
timing,1,6,sqrt,30,31,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_popcount,id_rate,pl_track_dev",9,0.9953381593813123,0.987053050271775,0.9997538869806213,0.9746708673245843,0.005616405084373301,2428,23,0.9949996005766911
timing,1,6,all,31,32,6,"dt_id,dt_id_dev,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,pl_track_dev",9,0.9900486535630462,0.9719728299299321,0.9707767540902914,0.9731718567306351,0.005785267345971016,2501,2731,0.9950205227500105
timing,1,8,sqrt,61,62,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,pl_track_dev",11,0.9945450188109358,0.984816399135996,0.9952596492354445,0.9745900351024257,0.005609465539376135,2425,443,0.9950319348445482
timing,1,8,all,75,76,8,"dt_id,dt_id_dev,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,pl_track_dev",9,0.9894533226313247,0.9702452819051606,0.9673953752153489,0.9731120296219754,0.0057783278009738495,2498,3047,0.9951080154748002
timing,3,2,sqrt,9,12,2,"dt_id,dt_ratio_q6,hd,hd_dev,id_rate,pl_track_dev",6,0.9953381593813123,0.987053050271775,0.9997538869806213,0.9746708673245843,0.005616405084373301,2428,23,0.9950091106554727
timing,3,2,all,9,12,2,"dt_id,dt_id_dev,hd_dev,id_rate",4,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,3,3,sqrt,19,22,3,"dt_id,dt_ratio_q6,hd,hd_dev,pl_violation,id_rate,bus_rate,pl_track_dev",8,0.9953704936491694,0.9871441398616173,0.9999464971697003,0.9746654567831701,0.005618718266039023,2429,5,0.9950642691124053
timing,3,3,all,18,21,3,"dt_id,dt_id_dev,hd,hd_dev,id_rate,pl_track_dev",6,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,3,4,sqrt,32,35,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_popcount,id_rate,pl_track_dev",10,0.9953781017121945,0.9871649958273032,0.9999464971697003,0.9747061216400864,0.005609465539376135,2425,5,0.9950699751596742
timing,3,4,all,31,34,4,"dt_id,dt_id_dev,hd,hd_dev,burst,pl_popcount,id_rate,bus_rate,pl_track_dev",9,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,3,5,sqrt,59,62,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,pl_track_dev",11,0.995355277523119,0.987101749345052,0.9998929943394006,0.9746336375488918,0.00562565781103619,2432,10,0.9950471509705986
timing,3,5,all,50,53,5,"dt_id,dt_id_dev,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",10,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
